symptom,disease,weight
itchy_skin,COPD,0.51
sore_throat,Otitis externa,0.37
chills,Laryngitis,0.47
ear_pain,COVID-19,0.5
constipation,Meningitis,0.4
dizziness,Gastroenteritis,0.31
chest_pain,COVID-19,0.48
abdominal_cramps,Stress disorder,0.34
loss_of_appetite,Laryngitis,0.34
joint_pain,Pneumonia,0.38
blurry_vision,Stress disorder,0.39
chest_pain,Meningitis,0.33
numbness,Gastroenteritis,0.53
diarrhea,Kidney disease,0.54
swollen_glands,COPD,0.48
abdominal_cramps,Conjunctivitis,0.37
chest_pain,Common cold,0.53
abdominal_cramps,COVID-19,0.35
chills,Migraine,0.44
dizziness,Heart disease,0.51
night_sweats,Flu,0.48
leg_swelling,Stress disorder,0.46
eye_pain,COVID-19,0.46
itchy_skin,Conjunctivitis,0.31
nausea,Pneumonia,0.38
chest_pain,Stress disorder,0.45
dizziness,Conjunctivitis,0.53
eye_pain,Meningitis,0.39
eye_pain,Anxiety disorder,0.31
numbness,Pneumonia,0.42
swollen_glands,Kidney disease,0.32
nausea,COPD,0.42
neck_stiffness,UTI,0.44
abdominal_cramps,Heart disease,0.37
loss_of_appetite,Heart disease,0.41
fever,COPD,0.51
shoulder_pain,Flu,0.34
ear_pain,Gastroenteritis,0.33
constipation,Stress disorder,0.37
constipation,Asthma,0.48
swollen_glands,Laryngitis,0.33
shoulder_pain,Anxiety disorder,0.36
joint_pain,Heart disease,0.51
hoarse_voice,Kidney disease,0.38
numbness,Asthma,0.37
loss_of_appetite,Anxiety disorder,0.36
dizziness,Pneumonia,0.31
leg_swelling,COPD,0.55
lower_back_pain,Pneumonia,0.49
lower_back_pain,Otitis externa,0.52
rash,Kidney disease,0.49
constipation,Gastroenteritis,0.39
chest_pain,Arthritis,0.49
neck_stiffness,Flu,0.36
shortness_of_breath,Flu,0.51
fatigue,Arthritis,0.34
eye_pain,Food poisoning,0.52
chills,COPD,0.49
loss_of_appetite,Kidney disease,0.34
fever,Laryngitis,0.36
constipation,Flu,0.33
loss_of_appetite,COPD,0.47
runny_nose,UTI,0.5
dehydration,Flu,0.48
